# collected from ~/text (user diary) via MeCab enumeration.
あ	亜
ひっし	必死,必至
ひっしゃ	筆者
ひっしゅう	必修
ひっす	必須
ひっちゃく	必着
ひってき	匹敵
ひっとう	筆頭
ひっぱく	逼迫
ひつう	悲痛
ひつぎ	柩
ひつじ	未,羊
ひつぜん	必然
ひつよう	必要
ひづけ	日付
ひてい	否定
ひであき	英昭,秀明
ひでかず	英一
ひでかつ	秀勝
ひでみ	英美
ひでん	秘伝
ひと	人
ひとあし	一足
ひとあたり	人当たり
ひとあめ	一雨
ひとあわ	一泡
ひとあんしん	一安心,ひと安心
ひといき	一息,ひと息
ひとえ	一重
ひとかけら	一欠片
ひとかげ	人影
ひとがら	人柄
ひとぎき	人聞き
ひとく	秘匿
ひとくぎり	一区切り
ひとくち	一口
ひとくろう	一苦労
ひとこと	一言
ひとごこち	人心地
ひとごみ	人込み,人混み
ひとさしゆび	人差し指
ひとし	均,等,斉,仁
ひとじち	人質
ひとすじ	一筋
ひとたち	人達
ひとだかり	人だかり
ひとだすけ	人助け
ひとつ	一つ
ひとつき	ひと月
ひとつばしだいがく	一橋大学
ひとづき	人付き
ひとづきあい	人付き合い
ひとづま	人妻
ひとで	人手
ひととおり	一通り
ひとなみ	人並み
ひとねむり	一眠り
ひとばん	一晩
ひとびと	人々
ひとまえ	人前
ひとみ	瞳,ひと美
ひとみしり	人見知り
ひとむかし	一昔
ひとめ	人目
ひとやすみ	一休み
ひとやま	一山
ひとよし	人吉
ひとり	独り
ひとりぐらし	一人暮らし,ひとり暮し
ひとりごと	独り言
ひとりだち	独り立ち
ひとりっこ	一人っ子
ひとりひとり	一人ひとり
ひとりぼっち	一人ぼっち
ひとりむすめ	一人娘
ひとりもの	独り者
ひどうき	非同期
ひな	雛,鄙,比奈
ひない	比内,日内
ひながた	雛形
ひなこ	日菜子
ひなせ	日生
ひなた	日向
ひなまつり	ひな祭り
ひなん	避難,非難
ひにく	皮肉
ひにょうき	泌尿器
ひにん	避妊
ひのと	丁
ひのめ	日の目
ひはん	批判
ひばしら	火柱
ひばりがおか	ひばりが丘
ひばん	非番
ひひょう	批評
ひび	日比
ひびき	響,響き
ひびやかだん	日比谷花壇
ひびやこうえん	日比谷公園
ひびやせん	日比谷線
ひふ	皮膚,非負
ひふく	被服,被覆
ひふくきん	腓腹筋
ひへい	疲弊
ひほう	秘宝
ひぼう	誹謗
ひま	暇,隙
ひまご	ひ孫
ひまじん	暇人
ひまち	日待
ひまつぶし	暇つぶし,暇潰し
ひまらやすぎ	ヒマラヤ杉
ひまわり	向日葵
ひまん	肥満
ひみこ	卑弥呼
ひみず	火水
ひみつ	秘密
ひむろ	氷室
ひめ	姫
ひめい	悲鳴
ひめくり	日めくり
ひめこ	姫子
ひも	紐
ひもち	日持ち
ひもつき	紐付
ひゃくせんれんま	百戦錬磨
ひゃっかてん	百貨店
ひや	冷,冷や
ひやあせ	冷や汗
ひやく	飛躍
ひやけ	日焼け
ひやざけ	冷酒
ひやしちゅうか	冷やし中華
ひやひや	冷や冷や
ひやま	檜山
ひやむぎ	冷や麦
ひゆ	比喩
ひょう	表,評,票
ひょうい	憑依
ひょうえ	兵衛
ひょうか	評価,氷菓
ひょうがき	氷河期
ひょうき	表記
ひょうげん	表現
ひょうこう	標高
ひょうご	兵庫,標語
ひょうさつ	表札
ひょうし	表紙,拍子
ひょうしき	標識
ひょうしぬけ	拍子抜け
ひょうしょう	表彰
ひょうしょうじょう	表彰状
ひょうじ	表示
ひょうじゅん	標準
ひょうじょう	表情
ひょうそう	表層
ひょうてき	標的
ひょうてん	評点
ひょうてんか	氷点下
ひょうはく	漂白
ひょうばん	評判
ひょうひき	表引き
ひょうへん	豹変
ひょうほん	標本
ひょうぼう	標榜
ひょうめい	表明
ひょうめん	表面
ひょうめんせき	表面積
ひょうりいったい	表裏一体
ひょうりゅう	漂流
ひよう	費用
ひよけ	日除け
ひよし	日吉
ひより	日和
ひよりやま	日和山
ひらあやまり	平謝り
ひらいし	平石
ひらおか	平岡
ひらおかこうえん	平岡公園
ひらか	平家
ひらき	開,開き,平木
ひらぎし	平岸
ひらく	開
ひらた	平田
ひらつか	平塚
ひらの	平野
ひらふ	比羅夫
ひらや	平屋
ひらやま	平山
ひりき	非力
ひりつ	比率
ひりょう	肥料
ひるね	昼寝
ひるめし	昼飯
ひるやすみ	昼休み
ひれい	比例
ひろ	尋
ひろあき	孔明
ひろいち	裕一
ひろう	疲労,披露
ひろうえん	披露宴
ひろうち	広内
ひろかわ	廣川
ひろがり	広がり
ひろこ	紘子
ひろさき	弘前
ひろさきだいがく	弘前大学
ひろし	普,裕,汎,廣,浩,紘,寛,宏,博志
ひろしま	広島
ひろすえ	広末
ひろせ	広瀬,廣瀬
ひろた	廣田,広太
ひろと	浩人
ひろのぶ	博信
ひろはし	広橋
ひろば	広場
ひろひと	裕仁
ひろま	広間
ひろみ	裕美,広美
ひろめ	広め
ひわ	秘話
ひわい	卑猥
ひん	貧
ひんけつ	貧血
ひんこん	貧困
ひんし	品詞
ひんしつ	品質
ひんしゅ	品種
ひんしゅく	顰蹙
ひんしゅつ	頻出
ひんじゃく	貧弱
ひんそう	貧相
ひんど	頻度
ひんぱつ	頻発
ひんぱん	頻繁
ひんぴょう	品評
ひんぷ	貧富
ひんめい	品名
ひんもく	品目
ひんよう	頻用
び	美
びいしき	美意識
びえん	鼻炎
びがく	美学
びがん	美顔
びく	魚籃
びこう	鼻腔,尾行,備考
びしょう	微笑
びしょうじょ	美少女
びしょうねん	美少年
びしょく	美食
びじゅつ	美術
びじゅつかん	美術館
びじょ	美女
びじん	美人
びちく	備蓄
びっとれつ	ビット列
びてき	美的
びどう	微動
びなん	美男
びねつ	微熱
びはだ	美肌
びひん	備品
びぶん	微分
びぼう	美貌,備忘
びぼうろく	備忘録
びみょう	微妙
びゃくや	白夜
びょう	秒
びょういん	病院
びょうが	描画,病が
びょうき	病気
びょうし	病死
びょうしつ	病室
びょうしゃ	描写
びょうしん	秒針
びょうじゃく	病弱
びょうじょう	病状
びょうてき	病的
びょうとう	病棟
びょうどう	平等
びょうどういん	平等院
びょうにん	病人
びょうま	病魔
びょうめい	病名
びょうよみ	秒読み
びょうり	病理
びょうれき	病歴
びよう	美容
びりょく	微力
びわ	枇杷
びわこ	琵琶湖
びん	便,瓶
びんかん	敏感
びんじょう	便乗
びんせん	便箋
びんぼう	貧乏
びんぼうしょう	貧乏性
びんぼうにん	貧乏人
ふ	歩,付,符,普
ふあん	不安
ふあんてい	不安定
ふあんない	不案内
ふい	不意
ふいうち	不意打ち
ふいちょう	吹聴
ふいっち	不一致
ふいつ	不一
ふう	封
ふういん	封印
ふうう	風雨
ふうかく	風格
ふうき	風紀
ふうけい	風景
ふうげつ	風月
ふうさ	封鎖
ふうさい	風災
ふうしゅう	風習
ふうしょ	封書
ふうそく	風速
ふうぞく	風俗
ふうちょう	風潮
ふうとう	封筒
ふうにゅう	封入
ふうひょう	風評
ふうふ	夫婦
ふうみ	風味
ふうりゅう	風流
ふうりん	風鈴
ふえ	笛
ふえいせい	不衛生
ふおん	不穏
ふか	負荷,付加,不可
ふかい	不快
ふかいしすう	不快指数
ふかいり	深入り
ふかおい	深追い
ふかかい	不可解
ふかく	不覚
ふかけつ	不可欠
ふかこうりょく	不可抗力
ふかさか	深坂
ふかざけ	深酒
ふかざわ	深澤
ふかし	不可視,淵
ふかた	深田
ふかちろん	不可知論
ふかつ	賦活
ふかづめ	深爪
ふかで	深手
ふかのう	不可能
ふかぶん	不可分
ふかほり	深堀
ふかみ	深み
ふかや	深谷
ふかん	俯瞰
ふかんぜん	不完全
ふがく	富岳
ふきげん	不機嫌
ふきそうじ	拭き掃除
ふきそく	不規則
ふきつ	不吉
ふきでもの	吹き出物
ふきぬけ	吹き抜け
ふきはつ	不揮発
ふきまわし	吹き回し
ふきゅう	普及,不休
ふきょう	布教,不況
ふきょうわおん	不協和音
ふきん	付近,布巾
ふきんしん	不謹慎
ふぎ	不義,付議
ふく	服,福,復,複
ふくい	福井,腹囲
ふくおか	福岡
ふくおかくうこう	福岡空港
ふくぎょう	副業
ふくげん	復元
ふくごう	複合,復号
ふくさ	袱紗
ふくさよう	副作用
ふくざつ	複雑
ふくざわ	福澤
ふくし	福祉,福士
ふくしま	福島
ふくしゃ	複写
ふくしゅう	復習
ふくしょく	服飾,復職
ふくじてき	副次的
ふくじゅう	服従
ふくじん	副腎
ふくすう	複数
ふくせい	複製
ふくせん	伏線
ふくそ	複素
ふくそう	服装,輻輳
ふくぞの	福園
ふくだ	福田
ふくとめ	福留
ふくなが	福永
ふくびき	福引き,福引
ふくぶ	腹部
ふくぶくろ	福袋
ふくみ	含み
ふくみみ	福耳
ふくめん	覆面
ふくもと	福本,福元
ふくやく	服薬
ふくやま	福山
ふくよう	服用
ふくり	福利
ふくろ	袋
ふくろこうじ	袋小路
ふくん	父君
ふぐあい	不具合
ふぐう	不遇
ふけい	父兄
ふけいき	不景気
ふけつ	不潔
ふけんこう	不健康
ふけんぜん	不健全
ふこう	不幸
ふこうへい	不公平
ふこく	富国
ふごう	符号,符合,富豪
ふさい	夫妻,負債
ふさんか	不参加
ふざい	不在
ふし	節,父子
ふしあわせ	不幸せ
ふしぎ	不思議
ふしこ	伏古
ふしぜん	不自然
ふしぶし	節々
ふしみ	伏見
ふしめ	節目
ふしょう	負傷,不詳
ふしょうじ	不祥事
ふしょく	腐食
ふしん	不審,不振,不信
ふしんせつ	不親切
ふじ	藤,富士
ふじい	藤井
ふじえだ	藤枝
ふじかわ	藤川
ふじこ	不二子,富士子
ふじさき	藤崎
ふじさわ	藤沢
ふじさん	富士山
ふじさんぎょう	富士産業
ふじしろ	藤城
ふじぜろっくす	富士ゼロックス
ふじた	藤田
ふじたんだい	富士短大
ふじだな	藤棚
ふじつ	不実
ふじつう	富士通
ふじでんき	富士電機
ふじなみ	藤波
ふじの	藤野
ふじふいるむ	富士フイルム
ふじまき	藤巻
ふじみ	富士見
ふじむら	藤村
ふじもと	藤本
ふじや	不二家
ふじゅうぶん	不十分
ふじゅん	不順
ふじゆう	不自由
ふじょ	扶助,婦女
ふじょう	浮上
ふじょうり	不条理
ふじわら	藤原
ふじん	婦人,布陣,夫人,不尽
ふすう	負数
ふすま	麩
ふずい	付随
ふせい	不正,父性,不整
ふせいじつ	不誠実
ふせいみゃく	不整脈
ふせき	布石
ふせじ	伏せ字
ふせつ	敷設
ふせん	付箋
ふせんぱい	不戦敗
ふせんめい	不鮮明
ふぜい	風情
ふぜん	不全
ふそく	不足
ふそん	不遜
ふぞく	付属,附属
ふぞろい	不揃い
ふた	蓋
ふたい	付帯
ふたご	双子,二子
ふたしか	不確か
ふたつ	二つ
ふたつぎ	二木
ふたつへんじ	二つ返事
ふたば	双葉
ふたまた	二股
ふたん	負担
ふだんぎ	普段着
ふち	淵,不知
ふちのべ	淵野辺
ふちゃく	付着
ふちゅう	府中
ふちゅうい	不注意
ふちょう	不調
ふっかつ	復活
ふっかん	復刊
ふっき	復帰
ふっきゅう	復旧
ふっきん	腹筋
ふっけん	復権
ふっこう	復興
ふっさ	福生
ふっしょく	払拭
ふっとう	沸騰
ふつ	仏
ふつう	普通,不通
ふつかよい	二日酔い
ふつご	仏語
ふつごう	不都合
ふてい	不定,不貞
ふていき	不定期
ふてきごう	不適合
ふてきせつ	不適切
ふてぎわ	不手際
ふてね	ふて寝
ふで	筆
ふでばこ	筆箱
ふとう	埠頭,不当,ふ頭
ふとうごう	不等号
ふとうしき	不等式
ふとうめい	不透明
ふところ	懐
ふところがたな	懐刀
ふとし	太
ふとじ	太字
ふとっぱら	太っ腹
ふとめ	太め
ふともも	太股,太もも
ふとん	布団
ふどう	浮動,不動
ふどうさん	不動産
ふどうとく	不道徳
ふどうみょうおう	不動明王
ふな	舟
ふなか	不仲
ふながた	舟形
ふなき	船木,舟木
ふなたび	船旅
ふなつき	船着
ふなつきば	船着き場
ふなば	船場
ふなばし	船橋
ふなもり	船守
ふなやど	船宿
ふなれ	不慣れ
ふにん	不妊
ふにんき	不人気
ふね	船,舟
ふねん	不燃
ふのう	不能
ふはい	腐敗
ふばらい	不払い
ふひょう	不評
ふび	不備
ふびょうどう	不平等
ふびん	不憫
ふふく	不服
ふぶき	吹雪
ふへい	不平
ふへん	不変,普遍
ふべん	不便
ふほう	訃報,不法
ふまん	不満
ふみ	史
ふみあき	史明
ふみきり	踏切
ふみだい	踏み台
ふみづき	文月
ふみまさ	文正
ふみよ	二三代
ふみん	不眠
ふみんしょう	不眠症
ふむき	不向き
ふめい	不明
ふめいりょう	不明瞭
ふめつ	不滅
ふめん	譜面
ふもう	不毛
ふもと	麓
ふもん	不問
ふやじょう	不夜城
ふゆ	冬
ふゆう	富裕
ふゆかい	不愉快
ふゆば	冬場
ふゆもの	冬物
ふゆやすみ	冬休み
ふよ	付与
ふよう	不要,扶養,芙蓉
ふらんす	仏蘭西
ふらんすご	フランス語
ふり	振り,不利,降り
ふりかえ	振替,振り替え
ふりこ	振り子
ふりこう	不履行
ふりこみ	振り込み,振込
ふりそで	振り袖
ふりゅう	風流
ふりょう	不良
ふりわけ	振り分け
ふりん	不倫
ふるえ	震え
ふるかぶ	古株
ふるかわ	古川
ふるかわでんきこうぎょう	古河電気工業
ふるさわ	古沢
ふるつわもの	古強者
ふるはた	古畑
ふるほん	古本
ふるほんや	古本屋
ふるまい	振る舞い,振舞い,振舞
ふるもと	古本
ふるや	古谷
ふるやま	古山
ふれ	触れ
ふれあい	ふれ合い
ふれこみ	触れ込み
ふれんぞく	不連続
ふろ	風呂
ふろう	浮浪
ふろく	付録
ふろしき	風呂敷
ふろや	風呂屋
ふわく	不惑
ふんいき	雰囲気
ふんか	噴火
ふんかわん	噴火湾
ふんがい	憤慨
ふんきゅう	紛糾
ふんさい	粉砕
ふんしつ	紛失
ふんしゃ	噴射
ふんしょく	粉飾
ふんしん	分針
ふんすい	噴水
ふんそう	紛争
ふんとう	奮闘
ふんどし	褌
ふんぬ	憤怒
ふんぱつ	奮発
ふんべつ	分別
ふんまつ	粉末
ふんむ	噴霧
ぶ	部,武
ぶあいそう	無愛想
ぶい	部位
ぶいん	部員
ぶえんりょ	無遠慮
ぶか	部下
ぶかっこう	不恰好
ぶかつ	部活
ぶがい	部外
ぶき	武器
ぶきみ	不気味
ぶきよう	不器用
ぶぐ	武具
ぶけ	武家
ぶこつ	無骨
ぶさいく	不細工
ぶさた	無沙汰
ぶざま	無様
ぶざん	武山
ぶしつ	部室
ぶしょ	部署
ぶしょう	武将
ぶじ	無事
ぶじょく	侮辱
ぶすい	無粋
ぶそう	武装
ぶぞく	部族
ぶた	豚
ぶたい	舞台,部隊
ぶたいうら	舞台裏
ぶたにく	豚肉
ぶたまん	豚まん
ぶちょう	部長
ぶっか	物価
ぶっきょう	仏教
ぶっけん	物件
ぶっさん	物産
ぶっし	物資
ぶっしつ	物質
ぶっしょう	物証
ぶっしょく	物色
ぶっしん	物心
ぶっせい	物性
ぶっそう	物騒
ぶったい	物体
ぶっつづけ	ぶっ続け
ぶっぱん	物販
ぶっぴん	物品
ぶつぎり	ぶつ切り
ぶつぐ	仏具
ぶつぞう	仏像
ぶつだん	仏壇
ぶつま	仏間
ぶつよく	物欲
ぶつり	物理
ぶつりゅう	物流
ぶとう	武闘
ぶどう	葡萄,武道
ぶどまり	歩留まり
ぶない	部内
ぶなん	無難
ぶひん	部品
ぶぶん	部分
ぶもん	部門
ぶゆう	武勇
ぶよう	舞踊
ぶらうんかん	ブラウン管
ぶらく	部落
ぶるい	部類
ぶん	分,文
ぶんか	文化,分化
ぶんかい	分解,分会
ぶんかいのう	分解能
ぶんかつ	分割
ぶんかつばらい	分割払い
ぶんかほうそう	文化放送
ぶんがく	文学
ぶんがくぶ	文学部
ぶんき	分岐
ぶんきょう	文京
ぶんきょうどう	文教堂
ぶんぐ	文具
ぶんけ	分家
ぶんけい	文系
ぶんけん	文献
ぶんげい	文芸
ぶんこ	文庫
ぶんこつ	分骨
ぶんこぼん	文庫本
ぶんごう	文豪
ぶんさん	分散
ぶんざい	分際
ぶんし	分子
ぶんしつ	分室
ぶんしゅう	文集
ぶんしょ	文書
ぶんしょう	文章
ぶんしん	分身
ぶんじょう	分乗,分譲
ぶんすう	分数
ぶんせき	分析
ぶんせつ	文節
ぶんたん	分担
ぶんだん	分断
ぶんちゅう	文中
ぶんちん	文鎮
ぶんつう	文通
ぶんとう	文頭
ぶんぱい	分配
ぶんぴつ	分泌
ぶんぷ	分布
ぶんぼ	分母
ぶんぼうぐ	文房具
ぶんぽう	文法
ぶんまつ	文末
ぶんみゃく	文脈
ぶんめい	文明
ぶんめん	文面
ぶんや	分野
ぶんよ	分与
ぶんり	分離
ぶんりゅう	分溜
ぶんりょう	分量
ぶんるい	分類
ぶんれつ	分裂
へ	屁
へい	塀
へいあん	平安
へいいん	閉院
へいえき	兵役
へいおん	平穏
へいか	陛下
へいかい	閉会
へいかつ	平滑
へいき	平気,兵器
へいきん	平均
へいぎょう	閉業
へいこう	平行,並行,閉校,閉口,平衡
へいごう	併合
へいさ	閉鎖
へいさい	併催
へいざん	閉山
へいし	兵士
へいしゃ	弊社
へいじ	平時
へいじょう	平常
へいせい	平成,平静
へいせつ	併設
へいぜん	平然
へいそ	平素
へいそう	併走
へいそく	閉塞
へいそん	併存
へいたい	兵隊
へいたん	平坦
へいてん	閉店
へいねつ	平熱
へいはつ	併発
へいふく	平服
へいぶん	平文
へいほう	平方
へいほうこん	平方根
へいぼん	平凡
へいみん	平民
へいめん	平面
へいもん	閉門
へいや	平野
へいゆ	平癒
へいよう	併用
へいれつ	並列
へいろ	閉路
へいわ	平和
へいわじま	平和島
へき	碧
へきぎょく	碧玉
へきめん	壁面
へしあい	へし合い
へた	下手
へたくそ	下手糞
へび	蛇
へみ	逸見
へや	部屋
へん	変,片,編,偏
へんか	変化
へんかきゅう	変化球
へんかく	変革
へんかん	変換,返還
へんきゃく	返却
へんきょく	編曲
へんきん	返金
へんけい	変形
へんけん	偏見
へんこう	変更
へんさ	偏差
へんさい	返済
へんさん	編纂
へんざい	偏在
へんしゅ	変種
へんしゅう	編集
へんしょく	変色
へんしん	返信,変身,変心
へんじ	返事
へんじょう	返上
へんじん	変人
へんすう	変数
へんずつう	偏頭痛
へんせい	編成,変性
へんせん	変遷
へんそう	返送
へんそく	変則,変速
へんたい	変態
へんちょう	変調
へんてつ	変哲
へんとう	返答
へんとうせん	扁桃腺
へんどう	変動
へんにゅう	編入
へんぴん	返品
へんぼう	変貌
へんよう	変容
へんれき	遍歴
べい	米
べいこく	米国
べいじゅ	米寿
べいじん	米人
べき	冪
べっかん	別館
べっきょ	別居
べっけん	別件
べっこ	別個
べっさつ	別冊
べっし	別紙
べっしつ	別室
べっしょう	蔑称
べっせかい	別世界
べっそう	別荘
べっちゅう	別注
べっぴょう	別表
べつ	別
べついん	別院
べつじん	別人
べつばい	別売
べつべつ	別々
べつめい	別名
べつもの	別物,別もの
べつり	別離
べつわく	別枠
べに	紅
べにざけ	紅鮭
べん	弁
べんかい	弁解
べんき	便器
べんきょう	勉強
べんぎ	便宜
べんご	弁護
べんごし	弁護士
べんざ	便座
べんしょう	弁償
べんじょ	便所
べんず	ベン図
べんたつ	鞭撻
べんつう	便通
べんてん	弁天
べんとう	弁当
べんぴ	便秘
べんめい	弁明
べんり	便利
ぺきん	北京
ほ	保,補,穂,帆
ほあん	保安
ほいく	保育
ほいくえん	保育園
ほう	朴,報,法,方
ほうい	方位
ほうえい	放映
ほうおう	鳳凰
ほうおうどう	鳳凰堂
ほうか	法科,砲火
ほうかい	崩壊
ほうかご	放課後
ほうかつ	包括
ほうがく	方角
ほうがくぶ	法学部
ほうがん	包含
ほうき	放棄
ほうげき	砲撃
ほうげん	方言
ほうこう	方向,彷徨,芳香,奉公,咆哮
ほうこく	報告
ほうし	法師,奉仕
ほうしき	方式
ほうしゃ	放射
ほうしゃせん	放射線
ほうしゅう	報酬
ほうしゅつ	放出
ほうしょう	報奨
ほうしん	方針,放心
ほうじ	法事
ほうじちゃ	ほうじ茶,焙じ茶
ほうじょう	豊穣
ほうじん	法人,邦人
ほうせい	法政
ほうせいだいがく	法政大学
ほうせき	宝石
ほうせん	法線
ほうそう	放送,包装
ほうそうだいがく	放送大学
ほうそく	法則
ほうたい	包帯
ほうだい	放題,砲台
ほうだん	砲弾
ほうち	放置,報知
ほうちょう	包丁
ほうてい	法定
ほうていしき	方程式
ほうてき	法的
ほうでん	放電
ほうとう	宝刀
ほうどう	報道
ほうなんちょう	方南町
ほうにち	訪日
ほうねつ	放熱
ほうのう	奉納
ほうひ	放屁,包皮
ほうび	褒美
ほうふ	豊富,抱負
ほうふく	報復
ほうふつ	彷彿
ほうべん	方便
ほうほう	方法
ほうむ	法務
ほうむきょく	法務局
ほうむしょう	法務省
ほうめい	芳名
ほうめん	方面
ほうもつ	宝物
ほうもん	訪問
ほうゆう	朋友
ほうよう	法要,抱擁
ほうらい	蓬莱
ほうらく	包絡
ほうり	祝
ほうりつ	法律
ほうりゅう	放流
ほうりゅうじ	法隆寺
ほうれい	法令
ほうれんそう	ほうれん草
ほうろう	放浪
ほうわ	飽和,法話
ほお	頬
ほおぼね	頬骨
ほおん	保温
ほかく	捕獲
ほかん	補間,保管,補完
ほきゅう	補給
ほきょう	補強
ほくえつぎんこう	北越銀行
ほくおう	北欧
ほくしん	北辰
ほくじょう	北上
ほくせい	北西,北星
ほくだい	北大
ほくと	北斗,北都
ほくぶ	北部
ほくべい	北米
ほくよう	北洋
ほくようぎんこう	北洋銀行
ほくりく	北陸
ほくりくぎんこう	北陸銀行
ほけつ	補欠
ほけん	保険,保健
ほこう	歩行,補講
ほこさき	矛先
ほこら	祠
ほこらしげ	誇らしげ
ほこり	埃,誇り
ほご	保護,反故
ほさ	補佐
ほさき	穂先
ほし	星
ほしおき	星置
ほしかわ	星川
ほしくず	星屑
ほしぞら	星空
ほしの	星野
ほしもの	干物
ほしゅ	保守
ほしゅう	補修,補習
ほしょう	保証,保障,補償
ほしょうしょ	保証書
ほしん	保身
ほじ	保持
ほじゅう	補充
ほじょ	補助
ほすう	補数,歩数
ほせい	補正
ほそ	細
ほそう	舗装
ほそえ	細江
ほそかわ	細川
ほそく	捕捉,補足
ほそごえ	細越
ほそさか	細坂
ほそみ	細身
ほそめ	細目,細め
ほそや	細谷
ほそやま	細山
ほぞ	臍
ほぞん	保存
ほたる	螢,蛍
ほちゅうあみ	捕虫網
ほちょう	歩調
ほっ	欲
ほっかい	北海
ほっかいどう	北海道
ほっかいどうだいがく	北海道大学
ほっき	発起
ほっきょく	北極
ほっきょくけん	北極圏
ほっきょくせい	北極星
ほっけ	法華
ほっさ	発作
ほっそく	発足
ほったて	掘っ建て
ほったん	発端
ほっぽう	北方
ほてん	補填
ほとけ	仏
ほどう	歩道,補導
ほどうきょう	歩道橋
ほね	骨
ほねぶと	骨太
ほのお	炎
ほはば	歩幅
ほへい	歩兵
ほぼ	保母
ほまれ	誉
ほや	保谷
ほゆう	保有
ほら	洞
ほり	堀
ほりい	堀井
ほりえ	堀江
ほりお	堀尾
ほりかわ	堀川
ほりだし	掘り出し
ほりだしもの	掘り出し物
ほりのうち	堀之内
ほりゅう	保留
ほれい	保冷
ほろ	幌
ほろもえ	幌萌
ほろよい	ほろ酔い
ほん	本
ほんい	本位,本意
ほんいでん	本位田
ほんかい	本懐,本会
ほんかく	本格
ほんかわごえ	本川越
ほんかん	本館
ほんがん	本願
ほんき	本気
ほんきょく	本局
ほんきょち	本拠地
ほんぎょう	本業
ほんぐう	本宮
ほんけ	本家
ほんけん	本件
ほんこう	本稿,本校
ほんこん	香港
ほんごう	本郷
ほんごうさんちょうめ	本郷三丁目
ほんごく	本国
ほんごし	本腰
ほんし	本誌
ほんしつ	本質
ほんしゃ	本社
ほんしゅう	本州
ほんしょう	本性
ほんしょく	本職
ほんしん	本心,本震
ほんじょう	本荘,本庄
ほんすう	本数
ほんすじ	本筋
ほんせき	本籍
ほんせん	本線
ほんそう	奔走
ほんぞん	本尊
ほんたい	本体
ほんだ	本多,本田
ほんだい	本題,本代
ほんだぎけんこうぎょう	本田技研工業
ほんだな	本棚
ほんちょう	本町
ほんて	本手
ほんてん	本店
ほんでん	本殿
ほんとう	本当
ほんど	本土
ほんどう	本堂,本道
ほんにん	本人
ほんね	本音
ほんねんど	本年度
ほんのう	本能
ほんのうじ	本能寺
ほんば	本場
ほんばこ	本箱
ほんばん	本番
ほんぶ	本部
ほんぶり	本降り
ほんぶん	本文,本分
ほんぺん	本編
ほんぽ	本舗
ほんま	本間
ほんまつてんとう	本末転倒
ほんまる	本丸
ほんみょう	本名
ほんめい	本命
ほんもう	本望
ほんもの	本物
ほんや	本屋
ほんやく	翻訳
ほんよみ	本読み
ほんりゅう	本流
ほんりょう	本領
ぼいん	母音
ぼう	棒,坊,房,防,某
ぼういん	暴飲
ぼうえい	防衛
ぼうえいだいがくこう	防衛大学校
ぼうえん	望遠
ぼうおん	防音
ぼうかん	傍観
ぼうがい	妨害
ぼうきょ	暴挙
ぼうぎょ	防御
ぼうくうごう	防空壕
ぼうけん	冒険
ぼうげん	暴言
ぼうこう	膀胱,暴行
ぼうこく	某国
ぼうご	防護
ぼうさい	防災
ぼうさん	坊さん
ぼうし	帽子,防止
ぼうしつ	防湿
ぼうしょう	傍証
ぼうしょく	暴食
ぼうじゅ	傍受
ぼうすい	防水
ぼうず	坊主
ぼうそう	暴走,房総
ぼうそうはんとう	房総半島
ぼうだい	膨大
ぼうちゅう	防虫
ぼうちょう	膨張
ぼうと	暴徒
ぼうとう	冒頭,暴投
ぼうどう	暴動
ぼうねんかい	忘年会
ぼうはつ	暴発
ぼうはん	防犯
ぼうび	防備
ぼうふう	暴風
ぼうふうう	暴風雨
ぼうめい	亡命
ぼうらく	暴落
ぼうりょく	暴力
ぼうりょくだん	暴力団
ぼうれい	亡霊
ぼかん	母艦
ぼき	簿記
ぼきん	募金
ぼく	朴,卜,墨
ぼくし	牧師
ぼくじょう	牧場
ぼけ	呆け
ぼけつ	墓穴
ぼこう	母校
ぼこく	母国
ぼご	母語
ぼさつ	菩薩
ぼさつどう	菩薩道
ぼし	母子
ぼしゅう	募集
ぼしゅうだん	母集団
ぼしんせんそう	戊辰戦争
ぼせい	母性
ぼたい	母体
ぼたもち	ぼた餅
ぼたん	牡丹
ぼたんゆき	牡丹雪
ぼだい	菩提
ぼち	墓地
ぼっき	勃起
ぼっしゅう	没収
ぼっとう	没頭
ぼつ	没
ぼつらく	没落
ぼん	盆
ぼんおどり	盆踊り
ぼんさく	凡作
ぼんじん	凡人
ぼんのう	煩悩
ぼんよう	凡庸
ぽんず	ポン酢
ぽんぽんやま	ポンポン山
ま	間,魔
まあい	間合
まい	舞,麻衣
まいこ	麻衣子,舞子
まいご	迷子
まいしん	邁進
まいすう	枚数
まいぞう	埋蔵
まいづる	舞鶴
まいない	賂
まいにち	毎日
まいにちしんぶん	毎日新聞
まいはま	舞浜
まいぼつ	埋没
まうえ	真上
まうしろ	真後ろ
まえうり	前売り
まえおき	前置き
まえかがみ	前かがみ
まえかわ	前川
まえがみ	前髪
まえきん	前金
まえだ	前田
まえだおし	前倒し
まえのめり	前のめり
まえはら	前原
まえば	前歯
まえばらい	前払い
まえぶれ	前触れ
まえまえ	前々
まえむき	前向き
まえやく	前厄
まおう	魔王
まかい	魔界
まかない	賄
まかべ	真壁
まがお	真顔
まがし	間貸
まがりかど	曲がり角
まき	巻,巻き,真希,摩季
まきぞえ	巻き添え
まきた	牧田
まきの	牧野
まきもの	巻物
まぎわ	間際
まく	膜,幕
まくはり	幕張
まくはりめっせ	幕張メッセ
まくら	枕
まくらのそうし	枕草子
