# collected from ~/text (user diary) via MeCab enumeration.
あ	亜
いっぴきおおかみ	一匹狼
いっぴん	一品
いっぷう	一風
いっぷく	一服
いっぽう	一報
いつう	胃痛
いつき	樹
いつざい	逸材
いつだつ	逸脱
いつみ	逸見
いつろう	逸朗
いつわり	偽り
いてん	移転
いでぐち	出口
いでみつ	出光
いでん	遺伝
いでんし	遺伝子
いと	意図,糸
いといがわ	糸魚川
いとう	伊藤,以東,伊東
いとうちゅう	伊藤忠
いとうちゅうしょうじ	伊藤忠商事
いとぐち	緒,糸口
いとこ	従兄弟,従姉妹
いとごんにゃく	糸蒟蒻
いとなみ	営み
いど	井戸
いどう	移動,異動
いな	否
いなか	田舎
いなかっぺ	田舎っぺ
いながき	稲垣
いながわ	猪名川,稲川
いなげ	稲毛
いなだ	稲田
いなづみ	稲積
いなづみこうえん	稲積公園
いなにわ	稲庭
いなほ	稲穂
いなむらがさき	稲村ヶ崎
いなり	稲荷
いにしえ	古
いにゅう	移入
いにん	委任
いぬ	犬
いぬい	乾
いぬかい	犬飼
いぬづか	犬塚
いぬぼえ	犬吠
いね	稲
いねむり	居眠り
いの	猪
いのうえ	井上
いのかしら	井の頭
いのかしらせん	井の頭線
いのき	猪木
いのしし	猪
いのだい	井野台
いのち	命
いのちがけ	命がけ
いのちづな	命綱
いのちびろい	命拾い
いのり	祈り
いはん	違反
いばしょ	居場所
いばらき	茨城
いひょう	意表
いひん	遺品
いふ	異父,畏怖
いふく	衣服,い服
いぶくろ	胃袋
いぶつ	異物
いへき	胃壁
いへん	異変
いほう	違法,異邦
いぼ	揖保
いま	居間,今
いまい	今井,今居
いまいち	今一
いまがね	今金
いまがわ	今川
いまさら	今更
いましがた	今しがた,今し方
いまじん	今新
いまだ	今田
いまで	今出
いまなか	今中
いまなり	今成
いまにし	今西
いまひとつ	今一つ
いまべつ	今別
いまみつ	今光
いまむら	今村
いまもと	今本
いまもり	今森
いみ	意味
いみあい	意味合い
いみな	諱
いみん	移民
いむ	厳,医務
いむた	藺牟田,伊牟田
いも	芋
いもうと	妹
いもに	芋煮
いもん	慰問
いや	嫌
いやがらせ	嫌がらせ
いやく	意訳
いやくひん	医薬品
いやけ	嫌気
いやま	伊山
いやみ	嫌み,嫌味
いよ	伊予
いよう	異様
いよく	意欲
いらい	依頼
いり	入,入り
いりえ	入江
いりくち	入り口
いりぐち	入口
いりひ	入日
いりょう	医療
いりょうだい	医療大
いりょく	威力
いるい	衣類
いるす	居留守
いるま	入間
いれい	慰霊
いれかえ	入れ替え
いれかわり	入れ替わり
いれこ	入れ子
いれずみ	入れ墨
いれぢえ	入れ知恵
いれば	入れ歯
いれもの	入れ物
いろ	色
いろあい	色合い
いろえんぴつ	色鉛筆
いろがみ	色紙
いろけ	色気
いろしゅうさ	色収差
いろじかけ	色仕掛け
いろじろ	色白
いろづけ	色付け
いろとりどり	色とりどり
いろどり	彩
いろなおし	色直し
いろめ	色目
いろめがね	色眼鏡
いろわけ	色分け
いろん	異論
いわ	岩,違和,磐
いわい	祝い,岩井
いわいきん	祝い金
いわうち	岩内
いわかん	違和感
いわき	磐城
いわく	曰く
いわくら	岩倉
いわさき	岩崎
いわた	岩田
いわたに	岩谷
いわつか	岩塚
いわて	岩手
いわはだ	岩肌
いわば	岩場
いわみ	岩見
いわみざわ	岩見沢
いわもと	岩本
いわや	岩屋
いん	飲,院,員,因
いんうつ	陰鬱
いんかん	印鑑
いんが	因果
いんがい	院外
いんがりつ	因果律
いんこう	咽喉
いんご	隠語
いんさつ	印刷
いんさつしょ	印刷所
いんし	院試,印紙
いんしゅ	飲酒
いんしょう	印象
いんしょく	飲食
いんじ	印字
いんすう	因数
いんせい	陰性,院生
いんたい	引退
いんちょう	院長
いんとう	咽頭
いんど	印度
いんない	院内
いんねん	因縁
いんぶ	陰部
いんぺい	隠蔽
いんぼう	陰謀
いんめつ	隠滅
いんゆ	隠喩
いんよう	引用,陰陽
いんりょう	飲料
いんろう	印籠
う	卯
うえ	上
うえき	植木
うえさと	上里
うえだ	上田,植田
うえとした	上と下
うえの	上野,植野,上の
うえのこうえん	上野公園
うえはら	上原
うえまつ	植松,上松
うえむら	植村
うえん	迂遠
うお	宇尾
うか	羽化
うかい	迂回
うかがい	伺い
うかつ	迂闊
うき	浮き,雨期
うきしま	浮島
うきぼり	浮き彫り
うきょう	右京
うきょく	う曲
うぐいすだに	鴬谷
うけ	受け,請け
うけいれ	受け入れ,受入
うけおい	請け負い,請負
うけぐち	受け口
うけこたえ	受け答え
うけざら	受け皿
うけつけ	受付,受け付け
うけとり	受け取り,受取
うけわたし	受け渡し
うこん	右近
うごき	動き
うさぎ	兎
うさばらし	憂さ晴らし
うさみ	宇佐美
うし	牛,丑
うしく	牛久
うしごめ	牛込
うしのひ	丑の日
うしろ	後ろ,後
うしろがみ	後ろ髪,後髪
うしろすがた	後ろ姿
うしろまえ	後ろ前
うしろむき	後ろ向き
うじ	宇治
うじがみ	氏神
うじこ	氏子
うじた	氏田
うじばし	宇治橋
うす	有珠,臼
うすい	臼井
うすかわ	薄皮
うすがた	薄型
うすぎ	薄着
うすくち	薄口
うすざん	有珠山
うすちゃ	薄茶
うすっぺら	薄っぺら
うすで	薄手
うすめ	薄目
うせつ	右折
うそ	嘘,獺
うそつき	嘘つき
うぞうむぞう	有象無象
うた	歌,唄
うたいもんく	謳い文句,うたい文句
うたがい	疑い
うたげ	宴
うたごえ	歌声
うたたね	うたた寝
うただ	宇多田
うたひめ	歌姫
うだがわ	宇田川
うち	内
うちあい	打ち合い
うちあわせ	打ち合わせ
うちいわい	内祝,内祝い
うちうち	内々
うちがわ	内側
うちき	内気
うちきり	打ち切り
うちきん	内金
うちこ	内子
うちじろ	内城
うちだ	内田
うちっぱなし	打ちっ放し
うちの	内野
うちのひと	うちの人,内の人
うちぼうせん	内房線
うちまわり	内回り
うちむら	内村
うちやま	内山
うちゅう	宇宙
うちゅうせん	宇宙船
うちわ	内輪
うちわけ	内訳
うっき	鬱気
うっくつ	鬱屈
うっそう	鬱蒼
うったえ	訴え
うっぷん	鬱憤
うつうつ	鬱々
うつくしがおか	美しが丘
うつし	写,写し,移し
うつつ	内津
うつて	打つ手
うつのみや	宇都宮
うつびょう	うつ病,鬱病
うつり	移,写り
うつりかわり	移り変わり
うつわ	器
うづき	卯月
うてん	雨天
うで	腕
うでずもう	腕相撲
うでたてふせ	腕立て伏せ
うでどけい	腕時計
うなぎ	鰻
うなじゅう	うな重
うなどん	うな丼
うなばら	海原
うね	畝
うの	宇野
うぶすな	産土
うぶや	産屋
うへん	右辺
うま	馬,午
うまのり	馬乗り
うまみ	旨味
うまれ	生まれ
うまれかわり	生まれ変わり
うまれつき	生まれつき,生れつき
うみ	海,膿,生み
うみぞい	海沿い
うみの	海野
うみのひ	海の日
うみべ	海辺
うむ	有無
うめ	梅
うめあわせ	埋め合わせ
うめこ	ウメ子
うめさき	梅崎
うめしゅ	梅酒
うめたて	埋め立て,埋立
うめだ	梅田,埋田
うめぼし	梅干し,梅干
うもう	羽毛
うよきょくせつ	紆余曲折
うよく	右翼
うら	裏,浦,宇良
うらうち	裏打ち
うらおもて	裏表
うらかた	裏方
うらかわ	浦河
うらがえし	裏返し
うらがわ	裏側
うらぎり	裏切り
うらぎりもの	裏切り者
うらぐち	裏口,浦口
うらごえ	裏声
うらごし	裏漉し
うらじ	裏地
うらじろ	裏白
うらて	裏手
うらない	占い,占
うらないし	占い師
うらにわ	裏庭
うらばなし	裏話
うらべ	卜部
うらみ	恨み
うらみごと	恨み言
うらみち	裏道
うらめ	裏目
うらやま	裏山,浦山
うららか	麗らか
うらわ	浦和
うり	瓜
うりあげ	売り上げ,売上
うりきれ	売り切れ
うりこ	売り子
うりだし	売出
うりて	売り手
うりぬし	売主
うりば	売り場
うりもの	売り物
うりょう	雨量
うるう	閏
うるか	砂川
うるし	漆
うれし	嬉
うれしなき	嬉し泣き
うれすじ	売れ筋
うれっこ	売れっ子
うれのこり	売れ残り
うれゆき	売れ行き
うろ	虚
うろおぼえ	うろ覚え
うわかい	宇和海
うわがき	上書き
うわがわ	上側
うわき	浮気
うわぎ	上着
うわくちびる	上唇
うわぐつ	上靴
うわさ	噂
うわじま	宇和島
うわっつら	上っ面
うわつら	上面
うわのせ	上乗せ
うわのそら	上の空
うわばき	上履き
うわむき	上向き
うわん	右腕
うん	運
うんえい	運営
うんが	運河
うんきゅう	運休
うんこう	運行
うんせい	運勢
うんそう	運送
うんちく	蘊蓄
うんちん	運賃
うんてん	運転
うんでいのさ	雲泥の差
うんどう	運動
うんどうかい	運動会
うんどうこうえん	運動公園
うんぬん	云々
うんぱん	運搬
うんめい	運命
うんゆ	運輸
うんよう	運用
うんりょう	雲量
え	絵,柄,江
えい	英,永
えいえん	永遠
えいかいわ	英会話
えいが	映画
えいがかん	映画館
えいき	英気
えいきゅう	永久
えいきゅうし	永久歯
えいきょう	影響
えいぎょう	営業
えいこ	瑛子,えい子
えいこう	栄光
えいこく	英国
えいご	英語
えいざん	叡山
えいじ	英字,英司
えいじはっぽう	永字八法
えいじゅう	永住
えいすうじ	英数字
えいせい	衛星,衛生
えいぞう	映像,影像
えいぞく	永続
えいたんご	英単語
えいだん	営団
えいてん	栄転
えいぶん	英文
